Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh);Code_postal
Enedis;2019;Electricité;332.067886817426;20;0;0.511;0.0;0;1;0.0;0.0;0;1;0.0;757.733461442135;110;0;0.515;0.0;0.0;0.0;0;1;0.0;53075;Cosmes;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;1089.8013482595609;53230
Enedis;2019;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;42.5384778366676;14;0;0.541;412.529930090202;99;0;0.53;0.0;0.0;0.0;0;1;0.0;53080;Couptrain;200042182;CC du Mont des Avaloirs;53;Mayenne;52;Pays de la Loire;100;455.0684079268696;53250
Enedis;2019;Electricité;0.0;0;1;0.0;48.834;1;1;1.0;0.0;0;1;0.0;653.129078225984;100;0;0.345;0.0;0.0;0.0;0;0;0.0;53085;Crennes-sur-Fraubée;200042182;CC du Mont des Avaloirs;53;Mayenne;52;Pays de la Loire;100;701.963078225984;53700
Enedis;2019;Electricité;1015.20900196905;55;0;0.428;79021.8255190722;44;3;0.666;13663.3269473405;373;1;0.512;21333.2602074609;4302;0;0.376;5.319429733;34.7;1449.00305659174;131;0;0.52;53097;Évron;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;116482.62473243439;53600/53600/53150
Enedis;2019;Electricité;296.053165529111;20;0;0.488;0.0;0;1;0.0;130.254295310933;12;0;0.516;1736.79807812978;303;0;0.511;0.0;0.0;106.0637732692;11;0;0.518;53106;Gesvres;200042182;CC du Mont des Avaloirs;53;Mayenne;52;Pays de la Loire;100;2269.169312239024;53370
Enedis;2019;Electricité;406.055385175396;24;0;0.458;97.9419890322905;1;1;0.926;131.309021557911;12;0;0.407;1043.10029199732;200;0;0.369;0.0;0.0;0.0;0;1;0.0;53112;Le Ham;200042182;CC du Mont des Avaloirs;53;Mayenne;52;Pays de la Loire;100;1678.4066877629175;53250
Enedis;2019;Electricité;1265.84906987063;45;0;0.659;65.531085048302;2;0;0.453;493.389820762431;32;0;0.806;1947.70803688124;287;0;0.698;0.0;0.0;0.0;0;1;0.0;53135;Livré-la-Touche;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;3772.478012562603;53400
Enedis;2019;Electricité;424.587152432959;17;0;0.649;1021.71885854015;4;0;0.64;247.057272221756;13;0;0.856;1463.99971359556;187;0;0.751;0.0;0.0;0.0;0;1;0.0;53143;Maisoncelles-du-Maine;245300223;CC du Pays de Meslay-Grez;53;Mayenne;52;Pays de la Loire;100;3157.3629967904253;53170
Enedis;2019;Electricité;429.955410457594;11;4;0.888;70281.1627058842;105;3;0.814;31437.2017853582;1009;0;0.847;30391.2349748388;7030;1;0.834;5.004911611;22.9;11685.8901097639;185;1;0.747;53147;Mayenne;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;144225.44498630267;53100
Enedis;2019;Electricité;412.306547262957;18;0;0.864;597.217833333333;1;1;1.0;463.152982490234;16;0;0.662;1132.08130421074;199;0;0.776;0.0;0.0;0.0;0;1;0.0;53160;Montreuil-Poulay;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;2604.758667297264;53640/53640
Enedis;2019;Electricité;167.945040294929;7;0;0.338;96.105;1;0;1.0;61.7631569214866;10;0;0.394;989.918753855317;146;0;0.407;0.0;0.0;0.0;0;0;0.0;53220;Saint-Georges-le-Fléchard;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;1315.7319510717325;53480
Enedis;2019;Electricité;134.134266010463;9;0;0.65;744.977949614322;17;0;0.514;1573.87048206912;79;0;0.479;6436.15523835921;1016;0;0.428;1.516606022;32.8;226.387206900598;17;0;0.491;53247;Saint-Pierre-la-Cour;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;9115.525142953711;53410
Enedis;2019;Electricité;324.44802294309;17;0;0.525;484.193707333087;3;1;0.929;113.095932437752;17;0;0.609;1147.95142172203;149;0;0.507;0.0;0.0;0.0;0;1;0.0;53260;Simplé;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;2069.689084435959;53360
Enedis;2019;Electricité;299.776781272597;19;0;0.468;0.0;0;1;0.0;504.636267948729;20;0;0.687;583.291704761279;87;0;0.431;0.0;0.0;140.657730492791;4;0;0.6;53264;Thorigné-en-Charnie;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;1528.3624844753958;53270
Enedis;2019;Electricité;715.099254076168;30;0;0.512;7931.61191746415;12;0;0.718;1516.44280302417;76;0;0.499;3105.86291732344;541;0;0.484;0.716681973;32.1;219.003827559764;20;0;0.501;53267;Vaiges;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;13488.020719447692;53480
Enedis;2019;Electricité;154.281299604935;10;0;0.627;389.936;1;0;1.0;0.0;0;1;0.0;575.504835099776;126;0;0.375;0.0;0.0;83.1023661748189;2;0;0.466;53272;Villepail;200042182;CC du Mont des Avaloirs;53;Mayenne;52;Pays de la Loire;100;1202.8245008795298;53250
RTE;2019;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;2462.458;1;0;1.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;53097;Évron;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;2462.458;53600/53600/53150
RTE;2019;Electricité;0.0;0;0;0.0;176401.213;1;0;1.0;6951.332;1;0;1.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;53247;Saint-Pierre-la-Cour;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;183352.54499999998;53410
Enedis;2019;Electricité;1088.87431730401;44;0;0.869;6615.00901792546;24;0;0.917;6857.54002444379;156;0;0.835;8385.15501620988;1342;0;0.759;1.316199955;25.8;495.791958127833;20;0;0.622;53003;Ambrières-les-Vallées;245300389;CC du Bocage Mayennais;53;Mayenne;52;Pays de la Loire;100;23442.37033401097;53300/53300
Enedis;2019;Electricité;619.996923300092;36;0;0.555;0.0;0;1;0.0;790.571195925047;57;0;0.523;5368.4682119064;713;0;0.5;0.837846367;25.7;0.0;0;1;0.0;53015;La Baconnière;245300355;CC de l'Ernée;53;Mayenne;52;Pays de la Loire;100;6779.03633113154;53240
Enedis;2019;Electricité;431.202229109997;29;0;0.479;459.38585555475;7;1;0.936;2346.40184582463;70;0;0.477;3293.72356706359;594;0;0.379;0.740460536;37.0;170.517584210598;15;0;0.344;53016;Bais;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;6701.231081763565;53160
Enedis;2019;Electricité;537.605083664794;34;0;0.723;6144.69506743336;3;1;0.999;1516.37806298138;54;0;0.82;2756.06955776936;410;0;0.784;0.0;0.0;83.1904205180242;8;0;0.86;53017;Val-du-Maine;245300223;CC du Pays de Meslay-Grez;53;Mayenne;52;Pays de la Loire;100;11037.938192366917;53340/53340
Enedis;2019;Electricité;264.632730269763;13;0;0.684;0.0;0;0;0.0;0.0;0;1;0.0;361.585935946445;53;0;0.733;0.0;0.0;0.0;0;0;0.0;53019;Bannes;245300223;CC du Pays de Meslay-Grez;53;Mayenne;52;Pays de la Loire;100;626.218666216208;53340
Enedis;2019;Electricité;469.336823358071;15;0;0.527;0.0;0;0;0.0;0.0;0;1;0.0;1583.41154909019;199;0;0.362;0.0;0.0;0.0;0;1;0.0;53023;La Bazouge-des-Alleux;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;2052.748372448261;53470
Enedis;2019;Electricité;798.420320448339;23;0;0.511;349.295478233491;2;1;0.971;190.551145173948;17;0;0.431;1191.9306481357;163;0;0.448;0.0;0.0;248.685383805754;14;0;0.478;53026;Beaulieu-sur-Oudon;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;2778.882975797232;53320
Enedis;2019;Electricité;1447.45830963196;52;0;0.868;0.0;0;1;0.0;428.939887944666;59;0;0.803;3921.38926732975;545;0;0.748;0.755551149;26.8;74.3909815594293;8;0;0.782;53029;Bierné-les-Villages;245300447;CC du Pays de Château-Gontier;53;Mayenne;52;Pays de la Loire;100;5872.178446465806;53290/53290/53290/53290
Enedis;2019;Electricité;0.0;0;1;0.0;0.0;0;0;0.0;71.8794726125055;10;0;0.645;423.126871454227;50;0;0.652;0.0;0.0;0.0;0;0;0.0;53033;La Boissière;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;495.0063440667325;53800
Enedis;2019;Electricité;570.091125172449;26;0;0.838;8215.9564433011;41;0;0.855;6760.63753253845;215;0;0.82;13003.6491599323;2552;0;0.854;1.816642824;19.4;502.693321358077;38;0;0.793;53034;Bonchamp-lès-Laval;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;29053.027582302377;53960
Enedis;2019;Electricité;763.087930837317;36;0;0.831;241.80699593588;7;0;0.9;689.066112431834;35;0;0.835;3242.98634121805;471;0;0.758;0.0;0.0;0.0;0;1;0.0;53036;Bouère;245300223;CC du Pays de Meslay-Grez;53;Mayenne;52;Pays de la Loire;100;4936.94738042308;53290
Enedis;2019;Electricité;156.471510847333;9;0;0.793;0.0;0;1;0.0;141.651457805281;19;0;0.828;2393.64871970683;307;0;0.811;0.0;0.0;0.0;0;1;0.0;53037;Bouessay;247200090;CC de Sablé-sur-Sarthe;53;Mayenne;52;Pays de la Loire;100;2691.771688359444;53290
Enedis;2019;Electricité;931.696955387536;37;0;0.606;1567.4846581511;13;0;0.795;2600.96766625393;76;0;0.774;4922.76849458622;792;0;0.758;0.92563368;26.2;231.988891990766;15;0;0.64;53039;Le Bourgneuf-la-Forêt;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;10254.906666369552;53410
Enedis;2019;Electricité;482.295912434443;25;0;0.748;0.0;0;1;0.0;108.128238320971;17;0;0.632;1871.83643160804;274;0;0.594;0.0;0.0;0.0;0;1;0.0;53040;Bourgon;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;2462.260582363454;53410
Enedis;2019;Electricité;248.702790062757;14;0;0.416;1104.33074210379;3;1;0.947;550.076512299289;28;0;0.527;1880.471429419;278;0;0.429;0.0;0.0;71.3777285466243;8;0;0.459;53045;La Brûlatte;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;3854.95920243146;53410
Enedis;2019;Electricité;503.282219777589;33;0;0.458;0.0;0;1;0.0;103.885975400553;19;0;0.432;1343.49287978181;280;0;0.364;0.0;0.0;203.188626683131;12;0;0.434;53053;Champgenéteux;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;2153.849701643083;53160
Enedis;2019;Electricité;665.941150251092;28;0;0.518;51021.4945834058;63;1;0.587;28656.6252870384;413;1;0.598;14924.6515550909;2720;1;0.406;3.637667777;33.9;908.638958946047;82;1;0.496;53054;Changé;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;96177.35153473224;53810
Enedis;2019;Electricité;226.955025663342;15;0;0.867;492.4796768004;4;0;0.923;238.218589819947;23;0;0.846;1537.74624842304;241;0;0.787;0.0;0.0;0.0;0;1;0.0;53057;La Chapelle-au-Riboul;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;2495.399540706729;53440
Enedis;2019;Electricité;217.380783061675;14;0;0.544;0.0;0;0;0.0;45.0455356739325;12;0;0.456;1096.24247526632;150;0;0.553;0.0;0.0;126.894132263205;7;0;0.461;53059;La Chapelle-Rainsouin;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;1485.5629262651325;53150
